Class,Element,Shape,QNT,Value,Condition,Treatment,Fabrication
Nd13Fe81−xB6Hfx (x = 0–1.0) alloys,,sample without Hf,Curie temperature Tc,588 K,,,
Nd13Fe81−xB6Hfx (x = 0–1.0) alloys,x = 0.5,,Curie temperature Tc,579 K,,,
,x = 0,ribbons,temperature coefficients remanence α,−0.20 %/K,,,
,x = 0,ribbons,temperature coefficients coercivity β,−0.48 %/K,,,
,x = 0.5,ribbons,temperature coefficients remanence α,−0.17 %/K,,,
,x = 0.5,ribbons,temperature coefficients coercivity β,−0.34 %/K,,,
Nd13Fe81−xB6Hfx alloys,x = 0,,remanent polarization J,0.84 T,,,
Nd13Fe81−xB6Hfx alloys,x = 0,,intrinsic coercivity Hci,1036 kA/m,,,
Nd13Fe81−xB6Hfx alloys,x = 0,,maximum energy product (BH)max,116 kJ/m3,,,
Nd13Fe81−xB6Hfx alloys,x = 0.5,,Jr,0.58 T,450 K,,
Nd13Fe81−xB6Hfx alloys,x = 0.5,,Hci,505 kA/m,450 K,,
Nd13Fe81−xB6Hfx alloys,x = 0.5,,(BH)max,59 kJ/m3,450 K,,
Nd13Fe81B6,,,coercivity,290 kA/m,T 450 K,,
4 wt% Dy-doped Nd2Fe14B sintered magnet,,,coercivity that,406 kA/m,T 453 K,,
waste magnet,,,μ0Mr,1.38 T,,,
waste magnet,,,μ0Hc,1.3 T,,,
Nd21.63Pr6.43Dy3.42Fe64.75Ga0.1Zr0.11Al0.28Co1.74Cu0.32B0.97C0.12O0.13 wt%,,5.0 wt% GBM™ powder,μ0Mr,1.29 T,,,
Nd21.63Pr6.43Dy3.42Fe64.75Ga0.1Zr0.11Al0.28Co1.74Cu0.32B0.97C0.12O0.13 wt%,,5.0 wt% GBM™ powder,μ0Hc,2.36 T,,,
waste magnet,,,Temperature coefficient coercivity β,−0.50%/°C,25 °C 200 °C,,
recycled magnet,,,Temperature coefficient coercivity β,−0.47%/°C,25 °C 200 °C,,
waste recycled magnets,,,temperature coefficient remanence α,−0.14%/°C,25 °C 200 °C,,
,,,temperature coefficient remanence α,−0.11%/°C,25 °C 200 °C,,
waste,,,temperature coefficients remanence α,−0.12%/°C,25 °C 80 °C,,
recycled magnets,,,temperature coefficients remanence α,−0.02%/°C,25 °C 80 °C,,
waste,,,temperature coefficients coercivity β,−0.81%/°C,25 °C 80 °C,,
recycled magnets,,,temperature coefficients coercivity β,0.61%/°C,25 °C 80 °C,,
Zr2Co11,,,high uniaxial anisotropy,1.1 MJ/m3,,,
Zr2Co11,,,Curie temperature,500 °C,,,
,,Zr18Co77Mo5 melt spun ribbons,maximum coercivity,4.1 kOe,,,
,,Zr18Co77W5 melt spun ribbons,maximum coercivity value,4.3 kOe,,,
,,Co82Zr17Si1B2 melt spun ribbons,coercivity,4.5 kOe,,,
Co-Zr-Si-B system,substitution Mo,,coercivity,7.9 kOe,,,
hard magnetic phase Nd2Fe14B soft magnetic phases α-Fe and Nd2Fe17 as-solidified alloy,,,Hci,186 kA/m,,,
hard magnetic phase Nd2Fe14B soft magnetic phases α-Fe and Nd2Fe17 as-solidified alloy,,powders,coercivity Hci,≈ 750 kA/m,,heat treatments 520–550 °C,
,no Ce addition,Nd-Fe-B Sample 1,remanence,95 emu/g,,,
,no Ce addition,Nd-Fe-B Sample 1,intrinsic coercivity,as high as 18.4 kOe,,,
,,Nd-Fe-B Sample 1,Curie temperature,583 K,,,
(Nd0.8Ce0.2)14Fe79.5B6.5,,,intrinsic coercivity,18.7 kOe,,,
Fe70B19Nd7Nb4 rod magnets,,,Br,0.61 T,,,
Fe70B19Nd7Nb4 rod magnets,,,Hc,876 kA/m,,,
Fe70B19Nd7Nb4 rod magnets,,,(BH)max,50.2 kJ/m3,,,
,Gadolinium and silicon segregated,hard magnetic phase,enhance coercivity,up to 1115 kA/m,,,
,,Fe67B19Nd7Gd2Nb4Si1 magnetic rods 1.2 mm,intrinsic coercivity Hc,1115 kA/m,,,
,,Fe67B19Nd7Gd2Nb4Si1 magnetic rods 1.2 mm,remanence Br,0.57 T,,,
,,Fe67B19Nd7Gd2Nb4Si1 magnetic rods 1.2 mm,maximum energy product (BH)max,65.7 kJ/m3,,,
Fe70B19Nd7Nb4 rod magnet,,,Br,0.61 T,,,
Fe70B19Nd7Nb4 rod magnet,,,Hc,876 kA/m,,,
Fe70B19Nd7Nb4 rod magnet,,,(BH)max,50.2 kJ/m3,,,
Fe70−xB19Nd7Nb4Six,x= 0.5,,coercivity,876 kA/m,,,
Fe70−xB19Nd7Nb4Six,1.0,,coercivity,1050 kA/m,,,
Fe70−xB19Nd7Nb4Six,x=2.5,,coercivity,860 kA/m,,,
Fe69B19Nd7Nb4Si1 rod magnet,,,Br,0.54 T,,,
Fe69B19Nd7Nb4Si1 rod magnet,,,Hc,1050 kA/m,,,
Fe69B19Nd7Nb4Si1 rod magnet,,,(BH)max,53.3 kJ/m3,,,
optimally annealed Fe69−xB19Nd7GdxNb4Si1,,,(BH)max,53.3 kJ/m3,,,
optimally annealed Fe69−xB19Nd7GdxNb4Si1,x=2,,(BH)max,65.7 kJ/m3,,,
Fe67B19Nd7Gd2Nb4Si1 magnets,,,Br,0.57 T,,,
Fe67B19Nd7Gd2Nb4Si1 magnets,,,Hc,1115 kA/m,,,
Fe67B19Nd7Gd2Nb4Si1 magnets,,,(BH) max,65.7 kJ/m3,,,
Fe70−xB19Nd7Nb4Six,x=0.5,,remanence,0.61,,,
Fe70−xB19Nd7Nb4Six,2.5,,remanence,0.45,,,
Annealed Fe70B19Nd7Nb4 magnet,,,Br,0.61 T,,,
Annealed Fe70B19Nd7Nb4 magnet,,,Hc,876 kA/m,,,
Annealed Fe70B19Nd7Nb4 magnet,,,(BH)max,50.2 kJ/m3,,,
Annealed Fe70B19Nd7Nb4 magnet quaternary magnet,addition Si Gd,,coercivity,1115 kA/m,,,
Annealed Fe70B19Nd7Nb4 magnet quaternary magnet,addition Si Gd,,(BH)max,65.7 kJ/m3,,,
Fe67B19Nd7Gd2Nb4Si1 rod magnet,,,intrinsic coercivity Hc,1115 kA/m,,,
Fe67B19Nd7Gd2Nb4Si1 rod magnet,,,remanence Br,0.57 T,,,
Fe67B19Nd7Gd2Nb4Si1 rod magnet,,,maximum energy product (BH)max,65.7 kJ/m3,,,
Dy-free Nd12.4Pr2.2B6.1Cu0.1Al0.6Co1.0Fe77.6 at% (31.88 wt% RE content) magnet,,grain size 1 μm,high coercivity,19 kOe,,,
Dy-free Nd12.2Pr2.6Fe76.3Co2.1B6.0Nb0.2Al0.5Cu0.1 sintered magnet,,grain size ~4.5 μm,higher coercivity,21 kOe,,,
,RE content over 40 wt%,nonferromagnetic RE-rich phase,remanence,10.8 kGs,,,
"near-stoichiometric Nd2Fe14B magnet (Pr, Nd)12.5FebalB6.1 (at%)",,2:14:1 phase ~4.75 μm,coercivity,16.4 kOe,,,
melt spun (Nd0.75Pr0.25)10(Fe0.9Co0.1)78Nb2B10 alloy,,,jHC,1042 kA/m,,,
melt spun (Nd0.75Pr0.25)10(Fe0.9Co0.1)78Nb2B10 alloy,,,Jr,0.88 T,,,
melt spun (Nd0.75Pr0.25)10(Fe0.9Co0.1)78Nb2B10 alloy,,,(BH)max,123 kJ/m3,,,
Pr9Fe77.5Ti2.5B11 alloy,,,Jr,0.95 T,,,
Pr9Fe77.5Ti2.5B11 alloy,,,HC,859.4 kA/m,,,
Pr9Fe77.5Ti2.5B11 alloy,,,(BH)max,142 kJ/m3,,,
,10 at.% Co substituting Fe,,Jr,0.97 T,,,
,10 at.% Co substituting Fe,,HC,899.2 kA/m,,,
,10 at.% Co substituting Fe,,(BH)max,147 kJ/m3,,,
(Nd0.95La0.05)9.5Fe68Co10Cr2B10.5 alloy,,,Jr,1.04 T,,,
(Nd0.95La0.05)9.5Fe68Co10Cr2B10.5 alloy,,,Hc,756 kA/m,,,
(Nd0.95La0.05)9.5Fe68Co10Cr2B10.5 alloy,,,(BH)max,158 kJ/m3,,,
,,[(Nd4Pr)0.76Ce0.24]27Fe72B (x=0.24) powders,coercivity Hcj,8.49 kOe,,,
nanocomposites,,,theoretically calculated values energy product,as high as 1 MJ/m3,,,
isotropic RE2Fe14B/α-Fe nanocomposite magnets,8 9% RE contents,,(BH)max,22–24 MGOe,,,
melt spun (Nd0.95La0.05)11Fe77Cr2B10 alloys,,,Hc,13.2 kOe,,,
melt spun (Nd0.95La0.05)11Fe77Cr2B10 alloys,,,(BH)max,18 MGOe,,,
melt spun Co and C substituted Pr9Fe66Co10Ti4B10C1 alloy,,,values Hc,10.5 kOe,,,
melt spun Co and C substituted Pr9Fe66Co10Ti4B10C1 alloy,,,values (BH)max,20.2 MGOe,,,
melt spun Co and C substituted Pr9Fe66Co10Ti4B10C1 alloy,,,values remanence,10.0 kGs,,,
melt-spun Pr8Fe75Co10NbB5C alloys,,,(BH)max,26.2 MGOe,,,
DQ alloys,30% substitution Nd,,(BH)max value,86 kJ/m3 10.8 MGOe,,,
DQ alloys,30% substitution Nd,,Mr value,104 emu/g,,,
(La1.5Ce1.5)Nd7Fe84B6 alloy,,,Ms,150 emu/g,,,
(La1.5Ce1.5)Nd7Fe84B6 alloy,,,Mr,105 emu/g,,,
(La1.5Ce1.5)Nd7Fe84B6 alloy,,,Hcj,365 kA/m,,,
(La1.5Ce1.5)Nd7Fe84B6 alloy,,,BH,120 kJ/m3 15MGOe,,,
"combination of Nd2Fe14B, Fe-α and amorphous phases",,melt spun ribbons,coercivity,11.2–125.6 kA/m,,,
"combination of Nd2Fe14B, Fe-α and amorphous phases",,melt spun ribbons,saturation magnetization,65–120 A m2/kg,,,
"combination of Nd2Fe14B, Fe-α and amorphous phases",,melt spun ribbons,highest values coercivity,752 kA/m,,600 °C 6 h,
"combination of Nd2Fe14B, Fe-α and amorphous phases",,melt spun ribbons,stored magnetic energy,about 267.68 kJ/m3,,600 °C 6 h,
,,melt spun Fe14Nd2B1 ribbons,saturation magnetization,120 A m2/kg,,,wheel speed 40 m s−1
,,melt spun Fe14Nd2B1 ribbons,coercivity,about 11.2 kA/m,,,wheel speed 40 m s−1
(Pr0.25Nd0.75)30.6Cu0.15FebalB1 (wt%) starting magnet,,,coercivity,12.56 kOe,,,
(Pr0.25Nd0.75)30.6Cu0.15FebalB1 (wt%) starting magnet,adding a small amount of Dy88Mn12,,coercivity,17.49 kOe,,,
(Pr0.25Nd0.75)30.6Cu0.15FebalB1 (wt%) starting magnet,,,temperature coefficients remanence α,−0.115%/ºC,20–100 °C,,
(Pr0.25Nd0.75)30.6Cu0.15FebalB1 (wt%) starting magnet,0–4 wt% Dy88Mn12,,temperature coefficients remanence α,−0.107%/ºC,20–100 °C,,
(Pr0.25Nd0.75)30.6Cu0.15FebalB1 (wt%) starting magnet,,,temperature coefficients coercivity β,−0.744%/ºC,20–100 °C,,
(Pr0.25Nd0.75)30.6Cu0.15FebalB1 (wt%) starting magnet,0–4 wt% Dy88Mn12,,temperature coefficients coercivity β,−0.696%/ºC,20–100 °C,,
High coercivity Nd25Fe40Co20Al15−xBx (x=7–15) hard magnets as-cast magnet,11 at% boron content,,intrinsic coercivity Hcj,1140 kA/m,,,
High coercivity Nd25Fe40Co20Al15−xBx (x=7–15) hard magnets heat treated alloy with x=10,,,highest Hcj,1427 kA/m,,annealed 750 °C,
High coercivity Nd25Fe40Co20Al15−xBx (x=7–15) hard magnets as-cast magnet,7 boron content,,intrinsic coercivity Hcj,816,,,
as-cast alloy at x=11,,,largest coercivity,1140 kA/m,,,
annealed x=10 alloy,,,coercivity,1430 kA/m 1.78 T,,,
,,hot-deformed sample,temperature coefficient coercivity β,−0.52%/°C,27 °C 187 °C,,
Nd60Al10Ni10Cu20,,diffusion-processed samples,temperature coefficient coercivity β,−0.45%/°C,,,
Pr60Al10Ni10Cu20,,diffusion-processed samples,temperature coefficient coercivity β,−0.50%/°C,,,
Nd60Al10Ni10Cu20,,sample diffusion-processed,coercivity,0.6 T,200 °C,,
as-hot-deformed magnet,,,coercivity,0.2 T,200 °C,,
magnet diffusion-processed Pr60Al10Ni10Cu20,,,|β|,0.50%/°C,,,
(Nd0.75Ce0.25)30.5FebalAl0.1Cu0.1B,,,coercivity,10.3 kOe,,,
(Nd0.75Ce0.25)30.5FebalAl0.1Cu0.1B,,,coercivity,12.1 kOe,,dual-alloy method,
(Nd0.75Ce0.25)30.5FebalAl0.1Cu0.1B,,,remanence,13.1 kG,,,
(Nd0.75Ce0.25)30.5FebalAl0.1Cu0.1B,,,remanence,13.3 kG,,dual-alloy method,
"magnets (PrNd0.8Ce0.2)31(Fe,TM)68B1",,,coercivity,7.7 kOe,,,
"magnets (PrNd0.8Ce0.2)31(Fe,TM)68B1",,,coercivity,12.1 kOe,,Dual-alloy method,
sintered Nd-Ce-Fe-B magnet,distribution Ce,,coercivity,10.3 kOe,,single-alloy magnet,
sintered Nd-Ce-Fe-B magnet,distribution Ce,,coercivity,12.1 kOe,,dual-alloy magnet,
sintered Nd-Ce-Fe-B magnet,distribution Ce,,remanence,13.1 kG,,single-alloy magnet,
sintered Nd-Ce-Fe-B magnet,distribution Ce,,remanence,13.3 kG,,dual-alloy magnet,
SrFe12O19,,,coercivity,4860.5 Oe,,,sintered 1100 °C
SrAl3Fe9O19,,,coercivity,"16,876.9 Oe",,,sintered 1100 °C
SrFe12O19,Fe3+ ion,,magnetic moments,5 μB,,,
SrFe12O19,,unit cell,magnetic moments,40 μB,,,
SrAl3Fe9O19,,,coercivity,"16,876.9 Oe",,,sintering temperature
,,Nd14Fe77B9 single-layer film single-layer film,ambient coercivity,around 1 T,,,
,,Nd14Fe77B9 single-layer film diffusion-processed films,ambient coercivity,nearly 2 T,,,
,,Nd2Fe14B grains Nd-rich phase,coercivity,1.8 T,,,
,,single-layer film,coercivity,1.06 T,,,
,x=0.1 Dy-content,annealed (Nd1−xDyx)2Fe14B nanoparticles particles,coercivity,2.9 kOe,,,
,amount Dy (x=0.4),annealed (Nd1−xDyx)2Fe14B nanoparticles particles,coercivity,13.4 kOe,,,
,0.6 Dy-content,annealed (Nd1−xDyx)2Fe14B nanoparticles particles,coercivity,5.6 kOe,,,
,x=0.1 Dy-content,,coercivity,2.9 kOe,,,
,amount Dy (x=0.4),,coercivity,13.4 kOe,,,
,,Nd2Fe14B powder,coercivity,2.9 kOe,,,
,,Nd2Fe14B powder,saturation magnetization,122 emu/g,,,
,,Nd2Fe14B powder,remanent magnetization,73.8 emu/g,,,
,x=0.4,(Nd1−xDyx)2Fe14B nanoparticles,maximum coercivity,13.4 kOe,,,
