Phrase,Frequency
Pr_Cu_alloy,21
remanence_ratio,21
(_Nd_Dy_)_Fe_B,20
J_=_0_T,20
R_Fe,20
Nd_Co,20
magnetic_material,20
diffusion_temperature,20
H_of_0_kOe,20
magnetic_moment,19
Nd_Fe_B_layer,19
Cu_content,19
heavy_rare_earth,19
0_%_ZrC,19
Ce_content,19
(_BH_)_of_0_MGOe,19
Fe_B_/_Nd_Fe_B,19
Nd_Fe_Al,19
Pr_Fe_C,19
coercivity_of_0_kA_/_m,18
magnetic_layer,18
sintered_Nd_Fe_B,18
0_0_T,18
annealing_process,18
Nd_Fe_B_Nb,18
energy_density,17
value_of_coercivity,17
sample_cast,17
Fe_B_Nd,17
Fe_layer,17
from_0_T_to_0_T,17
HDDR_process,17
doped_magnet,17
diffusion_treatment,17
0_K_/_s,17
die_upset,17
Dy_Ga,17
Fe_Zr,17
0_T_to_0_T,17
sintered_Nd_Fe_B_magnet,17
Ti_(_0_nm_),16
α_Fe_/_Nd_Fe_B_nanocomposite,16
Ce_concentration,16
HD_magnet,16
Mo_(_0_nm_),16
maximum_coercivity,16
(_BH_)_value,16
0_0_m,16
temperature_of_0_°C,16
Fe_grain,16
Fe_/_Nd_Fe_B_nanocomposite,16
coercivity_of_magnet,16
diffusion_source,16
T_=_0_°C,15
remanence_B,15
grain_structure,15
temperature_coefficient_of_coercivity,15
alloy_powder,15
temperature_coefficient_of_remanence,15
magnetic_powder,15
large_coercivity,15
Nd_rich_grain_boundary,15
Nd_Fe_B_powder,15
hot_deformed_Nd_Fe_B_magnet,15
Nd_Nb,15
temperature_T,15
anisotropic_magnet,15
α_Fe_magnet,15
α_Fe_grain,15
Ce_Fe_B_magnet,15
diffusion_processed_sample,15
remanence_and_coercivity,15
Nd_Fe_Co_Al_B,15
Fe_Cu,15
Fe_O,15
"(_Nd_,_Pr_)_Fe_B",15
0_%_°C,15
Co_Zr_B,14
Nd_Fe_B_film,14
Nd_Fe_B_(_0_nm_),14
Fe_M_B,14
(_Nd_Ce_)_Fe_Co_B_+_0_%_ZrC,14
Nd_Fe_B_flake,14
La_Ce,14
Dy_element,14
magnetic_energy,14
0_%_/_K,14
Fe_content,14
diffusion_processed_magnet,14
Nd_Fe_B_/_Fe_B,14
Nd_Dy_Al,14
maximum_value,14
amount_of_Dy,14
heating_rate,14
R_Fe_B,13
"Sm_(_Co_,_M_)",13
alloy_method,13
magnetization_process,13
coercivity_and_remanence,13
thick_film_magnet,13
large_amount,13
M_H,13
melt_spinning_process,13
coercivity_(_H_),13
B_Nd_Nb,13
B_content,13
thermal_annealing,13
about_0_nm,13
Nd_Fe_Co_B,13
Nd_Al,13
alloy_magnet,13
Pr_Fe_B_/_α_Fe,13
RE_rich_phase,13
Nd_Fe_Nb_B,12
annealing_condition,12
0_and_0_kOe,12
Dy_or_Tb,12
Dy_Mn,12
Pr_Co_C_ribbon,12
B_of_0_kG,12
(_Nd_Dy_)_Fe_B_nanoparticle,12
0_0_MGOe,12
Ce_rich,12
Fe_3_+_ion,12
Nd_Fe_B_/_α_Fe_nanocomposite,12
Fe_3_+,12
Fe_nanocomposite_magnet,12
Fe_rich,12
magnetic_energy_product,12
alloy_composition,12
H_value,12
B_=_0_T,12
Nd_Cu_alloy,12
Co_atom,12
annealing_treatment,12
α_Fe_nanocomposite_magnet,12
rare_earth_content,12
Pr_Cu_diffusion,12
MRE_Fe_B,12
0_kA_/_m_(_0_kOe_),12
0_to_0_kOe,11
0_T_at_room_temperature,11
0_m_s_-_1,11
from_0_°C_to_0_°C,11
0_g_/_cm_3,11
0_MGOe_at_0_K,11
0_°C_to_0_°C,11
0_W,11
La_Fe_B,11
Nd_Ce_Fe_B_magnet,11
annealing_at_0_°C,11
Nd_Fe_B_permanent_magnet,11
sample_annealed,11
hci_=_0_kOe,11
approximately_0_kA_/_m,11
Ce_Y,11
SmCo_ribbon,11
~_0_MGOe,11
0_wt_%_Dy,11
heavy_rare_earth_element,11
addition_of_Dy,11
about_0_MGOe,11
Fe_atom,11
Nd_Dy_Fe_B,11
sintering_temperature,11
magnetocrystalline_anisotropy_field,11
temperature_dependence_of_coercivity,11
0_0_kA_/_m,11
Nd_Dy_Fe_Co_B,10
curie_temperature_T,10
around_0_T,10
about_0_°C,10
applied_field,10
diameter_of_0_mm,10
Pr_Cu_diffusion_processed,10
Al_3_+,10
Al_3_+_ion,10
from_0_to_0_kA_/_m,10
maximum_energy_product_of_0_MGOe,10
μ_H_~_0_T,10
Fe_/_Pr_Fe_B,10
RE_Fe_B_Zr,10
ball_milled,10
Pr_Fe_Co_B,10
Ta_spacer,10
Nd_Fe_B_nanocomposite_magnet,10
Nd_Fe_B_ribbon,10
H_=_0_kA_m_-_1,10
Nd_Cu_diffusion_process,10
Dy_concentration,10
remanence_value,10
Nd_Fe_B_/_α_Fe_magnet,10
Dy_rich,10
Fe_B_Nd_Nb,10
HD_temperature,10
value_of_H,10
Ce_substitution,10
Nd_(_0_nm_),10
B_and_(_BH_),10
~_0_kOe,10
substitution_of_Dy,10
Dy_Cu_alloy,10
Ti_substitution,10
Dy_containing,10
Fe_Cu_Zr,10
Dy_substitution,10
Cu_Zr,10
cooling_rate,10
Dy_/_Nd,10
0_MJ_/_m_3,10
α_Fe_/_Nd_Fe_B_nanocomposite_magnet,9
room_temperature_coercivity,9
Ta_spacer_layer,9
Nd_Al_Ni_Cu,9
Pr_Fe_Ti_Co_B_C,9
0_to_0_MGOe,9
(_BH_)_of_0_kJ_/_m_3,9
deformation_process,9
melt_spun_powder,9
Nd_Fe_B_based_magnet,9
large_grain,9
sample_diffusion_processed,9
Fe_/_Nd_Fe_B_nanocomposite_magnet,9
annealing_time,9
Sm_content,9
0_%_°C_-_1,9
~_0_MG_Oe,9
Co_concentration,9
M_=_Ti,9
Pr_Fe_B_film,9
sintering_process,9
amount_of_Nd,9
Nb_Si,9
"Sm_(_Co_,_Fe_)",9
Nd_in_Nd_Fe_B,9
Co_content,9
0_0_μ,9
Fe_Co_(_0_nm_),9
value_of_0_kOe,9
Pr_Co_C_phase,9
substitution_of_Nd,9
0_0_kG,9
hydride_powder,9
Nd_rich_grain_boundary_phase,8
Nd_atom,8
Nd_and_Dy,8
Sm_Co_R,8
about_0_kA_/_m,8
H_(_T_),8
about_0_kOe,8
above_0_°C,8
Sm_Fe_Ga_C,8
melt_spinning_technique,8
large_value,8
<_0_kOe,8
Ce_and_Co,8
SmCo_magnet,8
Nd_Fe_Ti_B,8
SrAl_Fe,8
Co_addition,8
energy_product_of_about_0_MGOe,8
magnetic_field_of_0_T,8
melt_spun_Nd_Fe_B,8
(_BH_)_max_=_0_MGOe,8
NdFeB_magnet,8
(_BH_)_of_0_kJ_m_-_3,8
milled_powder,8
DyF_EPD,8
SrAl_Fe_O,8
Dy_Y,8
"(_Nd_,_Pr_)_Fe_B_phase",8
magnetic_property_of_sample,8
without_magnetic_field,8
Ti_addition,8
only_0_T,8
0_MPa,8
MRE_Fe_B_Zr,8
0_:_0_structure,8
Nd_Fe_B_thick_film,8
~_0_at_._%,8
permanent_magnetic_material,8
Mo_spacer_layer,8
0_minute,8
magnetic_grain,8
magnetic_property_of_magnet,8
0_kOe_magnetic_field,7
about_0_μ,7
grain_boundary_(_GB_),7
coercivity_of_about_0_T,7
magnetic_Fe,7
coercivity_of_HDDR_powder,7
K_=_0_MJ_/_m_3,7
0_T_at_0_°C,7
amount_of_α_Fe,7
around_0_°C,7
substitution_for_Nd,7
coercivity_of_hot_deformed_magnet,7
Sm_Co_phase,7
Nd_Fe_B_/_Fe_Co,7
coercivity_of_ribbon,7
0_%_to_0_%,7
ball_milled_powder,7
curie_temperature_(_T_),7
temperature_of_0_K,7
H_of_0_kA_/_m,7
thermal_stability_of_magnet,7
Dy_film,7
0_0_kOe,7
magnetization_reversal_process,7
value_of_0_T,7
Dy_free_Nd_Fe_B_sintered_magnet,7
value_of_remanence,7
value_of_α,7
Dy_Ga_powder,7
produced_at_0_K,7
Pr_rich,7
α_Fe_content,7
doped_sample,7
heated_at_0_K,7
heated_at_0_K_/_s,7
remanence_of_0_T,7
Nd_Fe_B_thick_film_magnet,7
die_upset_magnet,7
addition_of_Ti,7
Nd_Fe_B_Hf,7
rare_earth_permanent_magnet,7
Δ_H,7
Fe_Pt,7
La_and_Ce,7
magnetic_polarization,7
0_G,7
Nd_Fe_Ti_Zr_Cr_B_C,7
coercivity_and_energy_product,7
RE_element,7
addition_of_0_at_._%,7
remanence_(_B_),7
0_0_m_/_s,7
SrFe_O,7
0_kOe_at_0_K,7
from_0_to_0_MGOe,6
from_0_to_0_nm,6
<_0_nm,6
temperature_and_time,6
GBDP_magnet,6
Fe_/_Pr_Fe_B_film,6
>_0_MGOe,6
substitution_for_Fe,6
SmCo_/_α_Fe,6
0_at_._%_Nd,6
melt_spun_at_0_m_/_s,6
Sm_Co_based,6
0_to_0_nm,6
Nd_based_magnet,6
sample_cast_without_magnetic_field,6
melt_spinning_method,6
remanent_polarization,6
remanence_and_maximum_energy_product,6
Fe_B_based_nanocomposite,6
remanence_and_maximum_energy,6
Fe_B_Nd_Gd,6
Fe_B_Nd_Gd_Nb,6
Fe_B_Nd_Gd_Nb_Si,6
remanence_and_(_B_H_),6
remanence_(_α_),6
cast_with_magnetic_field,6
J_of_0_T,6
processing_temperature,6
Ce_Fe_Co_Ti,6
Ce_Fe_Ti,6
Pr_Fe_B_phase,6
Ce_Y_magnet,6
Fe_Co_phase,6
Co_atom_per_formula_unit,6
Pr_Cu_diffusion_processed_sample,6
Pr_Al_Ni_Cu,6
coercivity_to_0_T,6
"Nd_(_Fe_,_Co_,_Al_)",6
Nd_substituted,6
deformation_temperature,6
Nd_loss,6
diffusion_coefficient,6
Nd_Fe_Ti_M_B,6
diffusion_processed_hot_deformed_magnet,6
Nd_Fe_Ga_B,6
Dy_diffusion_process,6
Nd_Fe_B_Nb_Ga_powder,6
Nd_Fe_B_Nb_Ga_alloy,6
multilayer_thin_film,6
Dy_interlayer,6
(_B_H_)_=_0_MGOe,6
(_B_H_)_of_0_MG_Oe,6
"La_,_Ce",6
magnetic_isolation_of_Nd_Fe_B_grain,6
(_BH_)_=_0_kJ_m_-_3,6
α_Fe_+,6
α_Fe_/_Pr_Fe_B_film,6
without_Dy,6
wheel_speed_of_0_m_/_s,6
~_0_°C,6
~_0_kA_m_-_1,6
temperature_coefficient_of_remanence_(_α_),6
Mn_Al,6
milling_time,6
RE_=_Nd,5
α_and_β,5
0_0_K,5
Nd_Fe_Co_Ga_B,5
"M_=_Ti_,_V",5
doped_ribbon,5
0_0_at_._%,5
0_±_0_T,5
Fe_B_/_Nd_Fe_B_nanocomposite,5
amount_of_Nb,5
Nd_Fe_Co_Al_B_alloy,5
large_remanence,5
Co_Zr_B_ribbon,5
α_Fe_film,5
Nd_Fe_B_type_powder,5
alloy_annealed,5
maximum_coercivity_of_0_kOe,5
Nd_Fe_B_/_Dy_/_Nd_film,5
±_0_T,5
M_=_V,5
Dy_and_Fe,5
Co_for_Fe,5
μ_H_(_T_),5
TbF_EPD,5
magnetic_property_of_Ce_Fe_B,5
Nd_Fe_Al_Co_B,5
temperature_coefficient_of_remanence_and_coercivity,5
remanence_of_0_kG,5
Th_Zn,5
arc_melting,5
thin_magnet,5
approximately_0_nm,5
sample_cast_with_magnetic_field,5
between_hard_and_soft_magnetic_layer,5
Co_rich,5
approximately_0_MA_/_m,5
Pr_Cu_eutectic_alloy,5
value_of_0_kA_/_m,5
Dy_for_Nd,5
remanence_and_energy_product,5
value_of_hci,5
(_Nd_Ce_)_Fe_Co_B_melt_spun_ribbon,5
between_hard_and_soft_phase,5
applied_magnetic_field,5
Pr_Fe_Ti_Co_B_C_ribbon,5
M_=_Nb,5
Nd_Fe_B_hot_deformed_magnet,5
Ce_rich_main_phase,5
(_Nd_Ce_)_Fe_Al_Cu_B,5
below_0_K,5
remanence_of_magnet,5
melt_spun_SmCo,5
M_=_0_emu_/_g,5
saturation_of_magnetization,5
sintered_at_0_°C,5
about_0_μ_m,5
about_0_wt_%,5
M_FeSO,5
about_0_%,5
M_(_T_),5
~_0_K,5
coercivity_of_sintered_magnet,5
coercivity_temperature_coefficient,5
"Sm_(_Co_,_Cu_,_Fe_,_Zr_)",5
from_0_to_0_°C,5
0_wt_._%_Dy_Ga,5
"Sm_(_Co_,_M_)_H",5
Sm_(_Co_Fe_Cu_Zr_),5
permanent_magnet_material,5
Nd_concentration,5
over_0_T,5
Nd_Co_(_0_nm_),5
operating_temperature,5
0_vol_%,5
M_type_hexaferrite,5
Cu_and_Nb,5
grain_size_of_0_nm,5
Cu_free,5
Nb_substitution,5
maximum_energy_product_of_(_BH_),5
Cu_substitution,5
0_nm_for_α_Fe,5
0_mm_3,5
Nd_rich_phase_at_grain_boundary,5
0_MGOe_to_0_MGOe,5
Nd_rich_main_phase,5
0_MGOe_at_room_temperature,5
0_M_FeSO,5
Ce_Fe_B_ribbon,5
Nd_(_Fe_Co_)_B,5
M_value,5
between_soft_and_hard_magnetic_layer,5
Nd_lean_magnetic_powder,5
0_h_at_0_°C,5
Nb_substituted,5
height_reduction_rate,5
Nb_content,5
Nb_addition,5
rare_earth_(_RE_),5
multilayer_magnet,5
SmCo_phase,5
hot_deformed_sample,5
large_temperature,5
0_and_0_%_°C,5
hot_pressed_magnet,5
Nd_Fe_M_B,5
J_(_H_),5
0_0_mm,5
0_0_MG_Oe,5
Fe_B_/_Nd_Fe_B_one,4
remanence_J,4
remanence_M,4
Pr_Dy_Cu_alloy,4
Pr_Cu_powder,4
pure_Ce_Fe_B,4
anisotropic_nanocomposite,4
Nd_Fe_B_/_FeCo,4
anisotropic_field,4
Nd_Fe_B_/_Fe_B_magnet,4
Co_substitution_for_Fe,4
remanence_ratio_M,4
remnant_magnetization,4
M_=_Zr,4
Fe_Co_particle,4
alloy_be_0_kA_/_m,4
Al_doping,4
Al_content,4
aging_time,4
squareness_ratio,4
addition_of_Ga,4
addition_of_Co,4
saturation_magnetic_polarization,4
PrCo_ribbon,4
saturation_magnetization_M,4
RE_rich_grain_boundary,4
Nd_Fe_Co_B_Ga,4
Fe_Nd_B_alloy,4
Nd_Dy_Fe_Co_B_single_layer,4
"Dy_,_Nd",4
maximum_energy_product_(_BH_)_of_0_MGOe,4
Fe_Nd_B_M,4
Nd_Dy_Al_alloy,4
substrate_temperature,4
Nd_Cu_flake,4
surface_area,4
about_0_0_nm,4
Nd_Fe_B_type_material,4
sintered_NdFeB,4
surface_of_Nd_Fe_B_grain,4
Nd_Cu_eutectic_alloy,4
Fe_rich_composition,4
poor_squareness,4
Nd_Cu_diffusion_processed_sample,4
>_0_T,4
>_0_kOe,4
>_0_K,4
produced_by_melt_spinning,4
temperature_below_0_K,4
~_0_kA_/_m,4
|_β_|,4
thin_film_diffusion_processed,4
TM_=_V,4
corresponding_Nd,4
magnetic_property_of_Pr_Fe_Ti_Co_B_C,4
0_wt_%_/_0_wt_%,4
uniaxial_anisotropy,4
Nd_Co_B,4
value_of_(_B_H_),4
Pr_rich_intergranular_phase,4
over_0_kOe,4
operation_temperature,4
value_of_B,4
0_vol_._%,4
O_Zr_Co,4
grain_boundary_diffusion_process_(_GBDP_),4
maximum_coercivity_value,4
grain_boundary_layer,4
Nd_Ce_Fe_B_alloy,4
NdFeB_layer,4
Nd_Fe_B_Nb_alloy,4
grain_of_α_Fe,4
grain_of_α_Fe_phase,4
(_Nd_Ce_)_Fe_B_alloy,4
grain_size_of_~_0_nm,4
Dy_Mn_alloy,4
length_of_0_mm,4
Sm_(_CoFe_),4
Nd_and_Cu_content,4
Cu_doped,4
NdFeB_(_0_nm_),4
without_addition,4
Y_substitution,4
H_<_0_kOe,4
Nd_substituted_alloy,4
Nd_Fe_B_main_phase,4
α_Co,4
Sm_Co_alloy,4
α_Fe_/_Nd_Fe_B_alloy,4
maximum_energy_product_(_B_H_),4
Nd_/_Pr,4
MgO_spacer_layer,4
DyF_EPD_coated_magnet,4
α_Fe_thick_film,4
"Nd_,_La",4
Sm_Co_Fe,4
β_La,4
D_(_H_),4
energy_density_of_magnet,4
energy_product_(_B_H_),4
0_kV,4
0_kG_to_0_kG,4
magnetic_property_of_B_=_0_T,4
Nd_O,4
Nd_(_FeCo_)_B,4
milled_sample,4
between_hard_and_soft_magnetic_phase,4
0_kA_/_m_to_0_kA_/_m,4
below_0_nm,4
Sm_Fe_C,4
EPD_coated_magnet,4
0_kA_/_m_and_0_kJ_/_m,4
EPD_coated_sample,4
Sm_Fe_Ti,4
Nd_substitution,4
EPD_coated_sintered_Nd_Fe_B_magnet,4
external_field,4
0_at_._%_Co,4
external_magnetic_field,4
Pr_Fe_B_thick_film,4
rare_earth_metal,4
Nd_Fe_Ti_Zr_B,4
B_concentration,4
Fe_/_Nd_Fe_B_alloy,4
diffusion_depth,4
SmCo_and_Sm_Co_R,4
B_=_0_0_kG,4
MRE_Fe_B_Zr_alloy,4
Nd_Fe_Ti_B_magnet,4
diffusion_processed_film,4
Nd_Fe_B_based_nanocomposite_magnet,4
Ce_Fe_CoTi,4
maximum_magnetic_energy_product,4
Pr_Fe_B_magnet,4
around_0_0_nm,4
0_A_m_2,4
Pr_Fe_B_/_α_Fe_film,4
Mo_(_0_nm_)_/_Fe,4
0_A_m,4
SPS_method,4
RE_Fe_B_magnet,4
MnBi_magnet,4
Nd_Fe_B_/_α_Fe_thick_film,4
Mn_substitution,4
diffusion_temperature_and_time,4
Nd_Fe_B_/_α_Fe_nanocomposite_magnet,4
Nd_Fe_B_nanoparticle,4
(_B_H_)_=_0_0_MG_Oe,3
(_B_H_)_of_0_MGOe,3
(_BH_)_~_0_MG_Oe,3
uniaxial_magnetic_anisotropy,3
value_of_maximum_energy,3
value_of_maximum_energy_product,3
"Y_,_Pr",3
Zn_type_structure,3
α_Fe_phase_content,3
β_=_0_%_/_°C,3
Δ_J_(_H_),3
μ_H_of_0_T,3
"(_Nd_,_Ce_)_Fe_B",3
"(_Nd_,_Pr_)_H",3
(_Nd_Ce_)_Fe_B_melt_spun_ribbon,3
(_Nd_La_)_Fe_Cr_B,3
~_0_~_0_%,3
~_0_kJ,3
<_0_at_._%,3
0_%_K,3
0_%_K_-_1,3
0_%_substitution_of_Nd,3
0_0_%,3
0_and_0_MGOe,3
0_at_._%_V,3
0_K_for_Nd_Fe_B,3
0_to_0_kG,3
0_wt_._%_Nd_Cu_flake,3
0_year,3
about_0_0_°C,3
above_0_kA_/_m,3
addition_of_0_wt_%,3
addition_of_B,3
aging_process,3
Al_substitution,3
alloy_prepared_by_melt_spinning,3
anisotropic_sintered_magnet,3
annealing_amorphous,3
annealing_treatment_at_0_°C,3
B_and_H,3
B_rich,3
carbon_addition,3
"Ce_,_Co",3
"Ce_,_Nd",3
Ce_Fe_B_based_magnet,3
Ce_Fe_B_melt_spun_ribbon,3
CeFe_Co_Ti,3
Co_Zr_B_nanocomposite,3
coercivity_of_Cu,3
containing_sintered_magnet,3
Cu_/_Fe,3
deposited_on_surface,3
diffusion_time,3
"Dy_,_Tb",3
Dy_added,3
Dy_addition,3
Dy_atom,3
Dy_doped_Nd_Fe_B_sintered_magnet,3
Dy_substitution_for_Nd,3
energy_milled_sample,3
energy_product_of_rare_earth,3
Fe_and_Co,3
Fe_B_Nd_Nb_Si,3
Fe_concentration,3
Fe_Nd_B_V,3
Fe_Pt_B,3
FePt_nanoparticle,3
grain_surface,3
H_and_M,3
HDDR_Nd_Fe_B_type_powder,3
HDDR_powder_be_0_nm,3
hot_compaction,3
hot_pressed_sample,3
"La_,_Ce_,_Pr",3
"La_,_Nd",3
La_/_Ce,3
La_and_Nd,3
La_Fe_B_phase,3
La_phase,3
large_energy_product,3
M_/_M_=_0_%,3
M_=_Nb_and_Zr,3
M_=_Si,3
magnetic_Fe_3_+,3
magnetic_Fe_3_+_ion,3
magnetic_film,3
magnetic_hysteresis_loop_for_melt_spun_ribbon,3
magnetic_polarization_J,3
magnetic_rod,3
Co_Fe_Zr_C,3
magnetic_torque_of_α_Fe_/_Pr_Fe_B_film,3
magnetization_B,3
melt_spun_SmCo_ribbon,3
MnBi_film,3
MnBi_layer,3
"MRE_(_Fe_,_Co_)_B",3
Nb_atom,3
Nb_Si_magnet,3
Nb_Si_rod_magnet,3
"Nd_(_Fe_,_Co_)_B",3
"Nd_(_Fe_,_Co_,_Al_)_B",3
"Nd_,_Gd",3
Nd_Cu_diffusion_processed_magnet,3
Nd_Cu_infiltrated_sample,3
Nd_diffusion_process,3
Nd_Dy_Co_Cu_Fe_alloy,3
Nd_Dy_Co_Cu_Fe_alloy_powder,3
Nd_Dy_Fe_B_flake,3
Nd_Dy_Fe_B_magnet,3
Nd_Dy_Fe_Ti_Nb_Co_B,3
Nd_Fe_Al_Co_B_alloy,3
Nd_Fe_B_/_Fe_B_nanocomposite_magnet,3
Nd_Fe_B_/_Fe_Co_interface,3
Nd_Fe_B_/_Ta,3
Nd_Fe_B_based_sintered_magnet,3
Nd_Fe_B_composite,3
Nd_Fe_B_Hf_alloy,3
Nd_Fe_B_lattice,3
Nd_Fe_B_matrix_phase,3
Nd_Fe_B_sample,3
Nd_Fe_B_thin_film,3
Nd_Fe_Ga_B_/_Fe_Co,3
Nd_Fe_Nb_B_magnet,3
particle_annealed,3
Pr_Dy_Cu_ribbon,3
Pr_Fe_B_/_α_Fe_nanocomposite_magnet,3
Pr_Fe_B_Mn,3
Pr_Fe_B_ribbon,3
Pr_Fe_C_B,3
Pr_Fe_Co_B_C,3
Pr_Fe_Nb_B,3
Pr_substitution,3
PrCo_phase,3
processing_condition,3
produced_by_SPS,3
R_Fe_M,3
R_Fe_M_B,3
rare_earth_magnet,3
remanence_and_magnetic_energy_product,3
remanent_polarization_J,3
sample_annealed_at_0_°C,3
sample_annealed_by_conventional_method,3
sample_by_diffusing_Pr_Cu_alloy,3
sample_prepared_at_0_°C,3
saturation_magnetization_and_remanence,3
Si_substrate,3
sintered_and_hot_deformed_magnet,3
sintered_Nd_Ce_Fe_B_magnet,3
sintered_sample,3
sintering_condition,3
sintering_method,3
Sm_(_Co_Cu_Fe_Zr_)_ribbon,3
Sm_(_CoFeCuZr_)_magnet,3
Sm_Co_H,3
Sm_Co_R_phase,3
Sm_doped,3
Sm_Fe_Ga_C_/_α_Fe,3
Sm_Fe_phase,3
Sm_Fe_ribbon,3
SmCo_/_α_Fe_nanocomposite_magnet,3
SmCo_based_magnet,3
substitution_of_Ce,3
"Tb_,_Dy",3
Tb_Fe_B,3
Tb_layer,3
TbCu_type_structure,3
TbF_EPD_coated_sintered_Nd_Fe_B_magnet,3
temperature_coefficient_of_α,3
temperature_coefficient_β,3
temperature_dependence_of_hci,3
thermal_stability_of_coercivity,3
thin_GB_phase,3
thin_layer,3
Ti_C_ribbon,3
Ti_content,3
Ti_free,3
"TM_=_V_,_Cr_,_Mn",3
TM_powder,3
(_BH_)_be_0_T,2
CeFe_Mo,2
"(_Ce_,_Nd_)_Fe_B",2
Nd_Fe_B_(_0_K_),2
Fe_Co_nanocomposite,2
"(_Co_,_Fe_)_magnet",2
Fe_Co_alloy,2
Nd_Fe_B_/_Dy_/_Nd_thin_film,2
Co_Cr,2
"Dy_,_Y",2
Fe_Co_/_Ta,2
Nd_Fe_Ti_Zr_Cr_B_C_magnet,2
Fe_B_Nd_Nb_rod_magnet,2
Nd_rich_powder,2
large_value_of_H,2
hot_deformation_process,2
Fe_B_Nd_Nb_magnet,2
maximum_squareness,2
Nd_Fe_B_/_Fe_Co_layer,2
Nd_Fe_B_/_Fe_nanocomposite,2
Nb_and_Zn,2
Fe_B_Nd_Nb_alloy,2
HfCo_phase,2
Cu_substituted_ribbon,2
Nd_Fe_B_/_Nd_film,2
Cu_substituted,2
HEBM_for_0_h,2
Nb_substituted_magnet,2
Cr_(_0_nm_),2
deposited_Ta,2
Fe_B_based_material,2
Nd_Nb_Fe_B,2
Nd_(_Co_Fe_)_B,2
Fe_B_/_Nd_Fe_B_type_nanocomposite,2
corresponding_remanence,2
"Nd_(_Fe_,_Al_)",2
Fe_and_B,2
mass_loss,2
heat_treated_at_0_°C,2
magnetic_property_of_H_=_0_kOe,2
Fe_/_Pr_Fe_B_nanocomposite,2
Nd_Fe_B_and_SmCo,2
HDDR_processed_powder,2
Nd_Fe_B_as_secondary_phase,2
HDDR_processed,2
