Pattern,Relations,Frequency,Examples
<Condition>_of_<Condition>,"[(0, 1)]",1,['magnetic_field_of_0_T']
<QNT>_at_<Condition>,"[(0, 1)]",1,['magnetization_at_0_kOe']
<QNT>_in_<Class>,"[(1, 0)]",1,['magnetization_in_nanocomposite']
<Fabrication>_at_<Fabrication>,"[(1, 0)]",1,['melt_spun_at_0_m_/_s']
<Fabrication>_or_<Fabrication>,"[(0, 1)]",1,['milling_or_melt_spinning_method']
<Class>_with_<QNT>_of_<Value>,"[(0, 1), (1, 2)]",1,['Pr_Co_B_with_coercivity_of_0_T']
<Fabrication>_via_standard_<Fabrication>,"[(0, 1)]",1,['produced_via_standard_HDDR_process']
<Shape>_=_<Shape>,"[(0, 1)]",1,['R_=_0_nm']
<Element>_(_<Element>_),"[(0, 1)]",1,['rare_earth_(_RE_)']
<QNT>_of_<Shape>,"[(1, 0)]",1,['remanence_of_film']
<QNT>_of_<QNT>_=_<Value>,"[(0, 1), (1, 2)]",1,['remanence_of_J_=_0_T']
<Shape>_<Treatment>_at_<Treatment>,"[(0, 1), (1, 2)]",1,['sample_annealed_at_0_°C']
<Shape>_<Treatment>_by_<Fabrication>,"[(0, 1), (1, 2)]",1,['sample_annealed_by_conventional_method']
<Fabrication>_with_<Condition>,"[(0, 1)]",1,['sample_cast_with_magnetic_field']
<Fabrication>_<Condition>,"[(0, 1)]",1,['sample_cast_without_magnetic_field']
<QNT>_of_<QNT>_(_<QNT>_),"[(1, 0)]",1,['temperature_coefficient_of_remanence_(_α_)']
<QNT>_of_<QNT>_and_<QNT>,"[(1, 0), (2, 0)]",1,['temperature_coefficient_of_remanence_and_coercivity']
<Fabrication>_of_<Fabrication>,"[(1, 0)]",1,['wheel_speed_of_0_m_/_s']
<QNT>_~_<Value>_to_<Value>,"[(0, 1)]",1,['β_~_0_to_0_%_/_°C']
<QNT>_(_<Condition>_)_be_<QNT>,"[(2, 1)]",1,['μ_H_(_T_)_be_coercivity']
