Pattern,Phrase,Base_phrase,Relations,Frequency
"<Class>_with_<QNT>_=_<Value>_,_<QNT>_=_<Value>_,_and_<QNT>_=_<Value>","Nd_Fe_B_magnet_with_H_=_0_kA_m_-_1_,_B_=_0_T_,_and_(_BH_)_=_0_kJ_m_-_3","(Nd_Fe_B_magnet, H, 0_kA_m_-_1, B, 0_T, (_BH_), 0_kJ_m_-_3)","(0, 1), (1, 2), (0, 3), (3, 4), (0, 5), (5, 6)",1
"<QNT>_,_<QNT>_,_and_<QNT>_be_<Value>_,_<Value>_,_and_<Value>","remanence_,_coercivity_,_and_energy_product_be_0_T_,_0_T_,_and_0_MGOe","(remanence, coercivity, energy_product, 0_T, 0_T, 0_MGOe)","(0, 3), (1, 4), (2, 5)",1
"<QNT>_of_<Value>_,_<Value>_,_and_<Value>","remanent_magnetization_of_0_,_0_,_and_0_kA_/_m","(remanent_magnetization, 0, 0, 0_kA_/_m)","(0, 1), (0, 2), (0, 3)",1
"<Shape>_with_<QNT>_=_<Value>_,_<QNT>_=_<Value>_,_and_<QNT>_=_<Value>","ribbon_with_μ_M_=_0_0_T_,_μ_H_=_0_0_T_,_and_(_BH_)_=_0_0_MGOe","(ribbon, μ_M, 0_0_T, μ_H, 0_0_T, (_BH_), 0_0_MGOe)","(0, 1), (1, 2), (0, 3), (3, 4), (0, 5), (5, 6)",1
"<Class>_with_<QNT>_=_<Value>_,_<QNT>_=_<Value>_,_and_<QNT>_=_<Value>","SmCo_magnet_with_μ_M_=_0_T_,_μ_H_=_0_T_,_and_(_BH_)_=_0_MGOe","(SmCo_magnet, μ_M, 0_T, μ_H, 0_T, (_BH_), 0_MGOe)","(0, 1), (1, 2), (0, 3), (3, 4), (0, 5), (5, 6)",1
<QNT>_in_<Shape>,"temperature_in_(_Nd_,_Dy_)_Fe_B","(temperature, (_Nd_,_Dy_)_Fe_B)","(1, 0)",1
"<QNT>_for_<Class>_be_<QNT>_=_<Value>_,_<QNT>_=_<Value>_,_<QNT>_=_<Value>","value_for_pure_Ce_Fe_B_be_hci_=_0_kOe_,_(_BH_)_max_=_0_MGOe_,_B_=_0_kG","(value, pure_Ce_Fe_B, hci, 0_kOe, (_BH_)_max, 0_MGOe, B, 0_kG)","(1, 2), (2, 3), (1, 4), (4, 5), (1, 6), (6, 7)",1
<QNT>_(_<Value>_),(_B_H_)_(_~_0_MG_Oe_),"((_B_H_), ~_0_MG_Oe)","(0, 1)",1
<QNT>_~_<Value>,(_B_H_)_~_0_MG_Oe,"((_B_H_), 0_MG_Oe)","(0, 1)",1
<QNT>_=_<Value>,(_B_H_)_=_0_G,"((_B_H_), 0_G)","(0, 1)",1
<QNT>_=_<Value>,(_B_H_)_=_0_kJ_/_m_3,"((_B_H_), 0_kJ_/_m_3)","(0, 1)",1
<QNT>_at_<Condition>,(_B_H_)_at_T,"((_B_H_), T)","(0, 1)",1
<QNT>_be_<Value>,(_B_H_)_be_0_T,"((_B_H_), 0_T)","(0, 1)",1
<QNT>_for_<Class>,(_B_H_)_for_magnet,"((_B_H_), magnet)","(1, 0)",1
<QNT>_for_<Class>,(_B_H_)_for_Pr_Fe_Ti_Co_B_C,"((_B_H_), Pr_Fe_Ti_Co_B_C)","(1, 0)",1
<QNT>_for_<Shape>,(_B_H_)_for_Pr_Fe_Ti_Co_B_C_ribbon,"((_B_H_), Pr_Fe_Ti_Co_B_C_ribbon)","(1, 0)",1
<QNT>_of_<Value>,(_B_H_)_of_0_0_MG_Oe,"((_B_H_), 0_0_MG_Oe)","(0, 1)",1
<QNT>_of_<Value>,(_B_H_)_of_0_kA_/_m,"((_B_H_), 0_kA_/_m)","(0, 1)",1
<QNT>_of_<Class>,(_B_H_)_of_magnet,"((_B_H_), magnet)","(1, 0)",1
<QNT>_up_to_<Value>,(_B_H_)_up_to_~_0_MG_Oe,"((_B_H_), ~_0_MG_Oe)","(0, 1)",1
<QNT>_(_<Value>_),(_BH_)_(_0_0_MGOe_),"((_BH_), 0_0_MGOe)","(0, 1)",1
<QNT>_=_<Value>,(_BH_)_=_0_0_MGOe,"((_BH_), 0_0_MGOe)","(0, 1)",6
<QNT>_=_<Value>_at_<Condition>,(_BH_)_=_0_kJ_/_m_3_at_0_K,"((_BH_), 0_kJ_/_m_3, 0_K)","(0, 1), (1, 2)",1
<QNT>_=_<Value>,(_BH_)_=_0_MG_Oe,"((_BH_), 0_MG_Oe)","(0, 1)",2
<QNT>_for_<Class>,(_BH_)_for_DQ_alloy,"((_BH_), DQ_alloy)","(1, 0)",1
<QNT>_for_<Class>,(_BH_)_for_Fe_Co,"((_BH_), Fe_Co)","(1, 0)",1
<QNT>_for_<Class>,(_BH_)_for_hot_deformed_magnet,"((_BH_), hot_deformed_magnet)","(1, 0)",1
<QNT>_for_<Shape>,(_BH_)_for_thick_film,"((_BH_), thick_film)","(1, 0)",1
<QNT>_in_<Class>,(_BH_)_in_quaternary_magnet,"((_BH_), quaternary_magnet)","(1, 0)",1
<QNT>_in_<Class>,(_BH_)_in_Sm_Co_magnet,"((_BH_), Sm_Co_magnet)","(1, 0)",1
<QNT>_~_<Value>,(_BH_)_max_~_0_MGOe,"((_BH_)_max, 0_MGOe)","(0, 1)",2
<QNT>_=_<Value>,(_BH_)_max_=_~_0_MGOe,"((_BH_)_max, ~_0_MGOe)","(0, 1)",1
<QNT>_=_<Value>_at_<Condition>,(_BH_)_max_=_~_0_MGOe_at_0_K,"((_BH_)_max, ~_0_MGOe, 0_K)","(0, 1), (1, 2)",1
<QNT>_=_<Value>_at_<Condition>,(_BH_)_max_=_0_MGOe_at_0_K,"((_BH_)_max, 0_MGOe, 0_K)","(0, 1), (1, 2)",1
<QNT>_be_<Value>,(_BH_)_max_be_0_kOe,"((_BH_)_max, 0_kOe)","(0, 1)",1
<QNT>_between_<Value>_and_<Value>,(_BH_)_max_between_0_and_0_MGOe,"((_BH_)_max, 0, 0_MGOe)","(0, 1), (0, 2)",1
<QNT>_for_<Class>,(_BH_)_max_for_(_Nd_Ce_)_Fe_B,"((_BH_)_max, (_Nd_Ce_)_Fe_B)","(1, 0)",1
<QNT>_for_<Class>,(_BH_)_max_for_die_upset_magnet,"((_BH_)_max, die_upset_magnet)","(1, 0)",1
<QNT>_for_<Element>,(_BH_)_max_for_x_=_0,"((_BH_)_max, x_=_0)","(1, 0)",1
<QNT>_in_<Class>,(_BH_)_max_in_(_Nd_Ce_)_Fe_Co_B,"((_BH_)_max, (_Nd_Ce_)_Fe_Co_B)","(1, 0)",1
<QNT>_in_<Element>,(_BH_)_max_in_Ce,"((_BH_)_max, Ce)","(1, 0)",1
<QNT>_in_<Class>,(_BH_)_max_in_sintered_magnet,"((_BH_)_max, sintered_magnet)","(1, 0)",1
<QNT>_of_<Value>,(_BH_)_of_~_0_kJ,"((_BH_), ~_0_kJ)","(0, 1)",1
<QNT>_of_<Value>,(_BH_)_of_~_0_kJ_m_-_3,"((_BH_), ~_0_kJ_m_-_3)","(0, 1)",1
<QNT>_of_<Value>,(_BH_)_of_0_kA_/_m,"((_BH_), 0_kA_/_m)","(0, 1)",1
<QNT>_of_<Class>,(_BH_)_of_magnet,"((_BH_), magnet)","(1, 0)",2
<QNT>_of_<Shape>,(_BH_)_of_sample,"((_BH_), sample)","(1, 0)",2
<QNT>_of_<Class>,(_BH_)_of_waste_magnet,"((_BH_), waste_magnet)","(1, 0)",1
<QNT>_of_<Value>,(_BH_)_value_of_0_kJ_/_m_3,"((_BH_)_value, 0_kJ_/_m_3)","(0, 1)",3
<QNT>_of_<Value>,(_BH_)_value_of_0_MGOe,"((_BH_)_value, 0_MGOe)","(0, 1)",2
<Class>_be_<Value>,(_Nd_Ce_)_Fe_B_be_0_kOe,"((_Nd_Ce_)_Fe_B, 0_kOe)","(0, 1)",1
<Class>_be_<Value>,(_Nd_Ce_)_Fe_Co_B_+_0_%_ZrC_be_~_0_%_°C_-_1,"((_Nd_Ce_)_Fe_Co_B_+_0_%_ZrC, ~_0_%_°C_-_1)","(0, 1)",1
<QNT>_of_<Value>,|_β_|_of_0_%_/_°C,"(|_β_|, 0_%_/_°C)","(0, 1)",1
<QNT>_of_<Shape>,|_β_|_of_sample_diffusion_processed,"(|_β_|, sample_diffusion_processed)","(1, 0)",1
<Value>_at_<Condition>,~_0_kA_m_-_1_at_room_temperature,"(~_0_kA_m_-_1, room_temperature)","(0, 1)",1
<Value>_for_<Shape>,~_0_kJ_m_-_3_for_N_=_0_film,"(~_0_kJ_m_-_3, N_=_0_film)","(1, 0)",1
<Value>_at_<Condition>,~_0_kOe_at_0_K,"(~_0_kOe, 0_K)","(0, 1)",4
<Value>_at_<Condition>,~_0_MGOe_at_0_K,"(~_0_MGOe, 0_K)","(0, 1)",3
<Value>_for_<Class>,~_0_MGOe_for_steel,"(~_0_MGOe, steel)","(1, 0)",1
<Value>_at_<Condition>,~_0_T_at_0_K,"(~_0_T, 0_K)","(0, 1)",1
<Value>_at_<Condition>,~_0_T_at_room_temperature,"(~_0_T, room_temperature)","(0, 1)",1
<Value>_for_<Shape>,0_%_/_°C_for_diffusion_processed_sample,"(0_%_/_°C, diffusion_processed_sample)","(1, 0)",1
<Value>_for_<Class>,0_%_/_°C_for_waste,"(0_%_/_°C, waste)","(1, 0)",1
<Value>_for_<Class>,0_%_/_°C_for_waste_magnet,"(0_%_/_°C, waste_magnet)","(1, 0)",1
<Value>_for_<Element>,0_%_/_K_for_x_=_0,"(0_%_/_K, x_=_0)","(1, 0)",2
<Value>_for_<Element>,0_%_°C_-_1_for_x_=_0,"(0_%_°C_-_1, x_=_0)","(1, 0)",2
<Value>_at_<Condition>,0_%_at_0_K,"(0_%, 0_K)","(0, 1)",2
<Value>_for_<Shape>,0_%_for_soft_magnetic_phase,"(0_%, soft_magnetic_phase)","(1, 0)",2
<Element>_of_<Element>,0_%_of_B,"(0_%, B)","(0, 1)",3
<Element>_of_<Element>,0_%_of_Ce_substitution,"(0_%, Ce_substitution)","(0, 1)",1
<Element>_of_<Element>,0_%_of_Nd,"(0_%, Nd)","(0, 1)",2
<Element>_of_<Element>,0_%_of_α_Fe_grain,"(0_%, α_Fe_grain)","(0, 1)",1
<Element>_of_<Element>,0_%_substitution_of_Dy,"(0_%_substitution, Dy)","(0, 1)",1
<Value>_for_<Class>,0_°C_for_Nd_Co_B,"(0_°C, Nd_Co_B)","(1, 0)",1
<Value>_for_<Class>,0_°C_for_Nd_Cu,"(0_°C, Nd_Cu)","(1, 0)",1
<Value>_for_<Shape>,0_°C_for_this_sample,"(0_°C, this_sample)","(1, 0)",1
<Value>_for_<Element>,0_°C_for_x_=_0,"(0_°C, x_=_0)","(1, 0)",2
<Value>_at_<Condition>,0_0_kA_/_m_at_room_temperature,"(0_0_kA_/_m, room_temperature)","(0, 1)",2
<Value>_for_<Element>,0_0_MG_Oe_for_Nd,"(0_0_MG_Oe, Nd)","(1, 0)",1
<Value>_for_<Class>,0_0_MG_Oe_for_Nd_Fe_Ti_M_B,"(0_0_MG_Oe, Nd_Fe_Ti_M_B)","(1, 0)",1
<Value>_for_<Element>,0_0_MGOe_for_x_=_0,"(0_0_MGOe, x_=_0)","(1, 0)",1
<Value>_for_<Class>,0_0_T_for_Nd_Fe_Co_B,"(0_0_T, Nd_Fe_Co_B)","(1, 0)",1
<Value>_for_<Shape>,0_0_T_for_Nd_Fe_Co_B_M_ribbon,"(0_0_T, Nd_Fe_Co_B_M_ribbon)","(1, 0)",1
<Treatment>_and_<Treatment>,0_and_0_K_/_s,"(0, 0_K_/_s)","(0, 1)",1
<Element>_of_<Element>,0_at_%_of_B,"(0_at_%, B)","(0, 1)",1
<Element>_of_<Element>,0_at_._%_of_Nd,"(0_at_._%, Nd)","(0, 1)",2
<Element>_of_<Element>,0_at_._%_of_V,"(0_at_._%, V)","(0, 1)",1
<Value>_at_<Condition>,0_emu_/_g_at_room_temperature,"(0_emu_/_g, room_temperature)","(0, 1)",1
<Value>_for_<Shape>,0_emu_/_g_for_sample,"(0_emu_/_g, sample)","(1, 0)",1
<Value>_for_<Element>,0_for_Ti_substitution,"(0, Ti_substitution)","(1, 0)",1
<Value>_for_<Element>,0_for_x_=_0,"(0, x_=_0)","(1, 0)",2
<Treatment>_and_<Treatment>,0_K_/_s_and_0_K_/_s,"(0_K_/_s, 0_K_/_s)","(0, 1)",2
<Value>_for_<Class>,0_K_for_(_Nd_Ce_)_Fe_B,"(0_K, (_Nd_Ce_)_Fe_B)","(1, 0)",1
<Value>_for_<Element>,0_K_for_Nd,"(0_K, Nd)","(1, 0)",3
<Value>_for_<Element>,0_K_for_Si,"(0_K, Si)","(1, 0)",1
<Value>_for_<Class>,0_K_for_SmCo,"(0_K, SmCo)","(1, 0)",1
<Value>_for_<Element>,0_K_for_x_=_0,"(0_K, x_=_0)","(1, 0)",1
<Value>_at_<Condition>,0_kA_/_m_at_room_temperature,"(0_kA_/_m, room_temperature)","(0, 1)",1
<Value>_for_<Shape>,0_kA_/_m_for_sample,"(0_kA_/_m, sample)","(1, 0)",1
<Value>_for_<Element>,0_kA_/_m_for_sample_without_Hf,"(0_kA_/_m, sample_without_Hf)","(1, 0)",1
<Value>_for_<Element>,0_kA_/_m_for_x_=_0,"(0_kA_/_m, x_=_0)","(1, 0)",2
<Value>_for_<Element>,0_kA_/_m_for_y_=_0,"(0_kA_/_m, y_=_0)","(1, 0)",4
<Value>_at_<Condition>,0_kA_m_-_1_at_0_°C,"(0_kA_m_-_1, 0_°C)","(0, 1)",1
<Value>_for_<Shape>,0_kA_m_-_1_for_initial_sample,"(0_kA_m_-_1, initial_sample)","(1, 0)",1
<Value>_for_<Shape>,0_kA_m_-_1_for_sample,"(0_kA_m_-_1, sample)","(1, 0)",1
<Value>_for_<Class>,0_kG_for_(_Nd_Ce_)_Fe_Co_B_+_0_%_ZrC,"(0_kG, (_Nd_Ce_)_Fe_Co_B_+_0_%_ZrC)","(1, 0)",1
<Value>_for_<Class>,0_kG_for_Ce_Fe_B,"(0_kG, Ce_Fe_B)","(1, 0)",1
<Value>_for_<Class>,0_kG_for_magnet,"(0_kG, magnet)","(1, 0)",1
<Value>_for_<Element>,0_kG_for_TM,"(0_kG, TM)","(1, 0)",1
<Value>_for_<Element>,0_kG_for_x_=_0,"(0_kG, x_=_0)","(1, 0)",1
<Value>_for_<Element>,0_kG_for_y_=_0,"(0_kG, y_=_0)","(1, 0)",2
<Value>_at_<Condition>,0_kJ_/_m_3_at_0_K,"(0_kJ_/_m_3, 0_K)","(0, 1)",1
<Value>_for_<Shape>,0_kJ_/_m_3_for_sample_diffusion_processed,"(0_kJ_/_m_3, sample_diffusion_processed)","(1, 0)",1
<Value>_for_<Shape>,0_kJ_m_-_3_for_N_=_0,"(0_kJ_m_-_3, N_=_0)","(1, 0)",2
<Value>_at_<Condition>,0_kOe_at_room_temperature,"(0_kOe, room_temperature)","(0, 1)",2
<Value>_for_<Shape>,0_kOe_for_EPD_coated_sample,"(0_kOe, EPD_coated_sample)","(1, 0)",1
<Value>_for_<Class>,0_kOe_for_hot_pressed,"(0_kOe, hot_pressed)","(1, 0)",1
<Value>_for_<Class>,0_kOe_for_magnet,"(0_kOe, magnet)","(1, 0)",2
<Value>_for_<Shape>,0_kOe_for_melt_spun_Ce_Fe_B_powder,"(0_kOe, melt_spun_Ce_Fe_B_powder)","(1, 0)",1
<Value>_for_<Class>,0_kOe_for_Nd_Fe_B,"(0_kOe, Nd_Fe_B)","(1, 0)",1
<Value>_for_<Class>,0_kOe_for_respective_alloy,"(0_kOe, respective_alloy)","(1, 0)",1
<Value>_for_<Shape>,0_kOe_for_ribbon,"(0_kOe, ribbon)","(1, 0)",1
<Value>_for_<Class>,0_kOe_for_sintered_(_Nd_Ce_),"(0_kOe, sintered_(_Nd_Ce_))","(1, 0)",1
<Value>_for_<Element>,0_kOe_for_Sm,"(0_kOe, Sm)","(1, 0)",2
<Value>_for_<Class>,0_kOe_for_Sm_(_Co_Fe_Cu_Zr_),"(0_kOe, Sm_(_Co_Fe_Cu_Zr_))","(1, 0)",2
<Value>_for_<Shape>,0_kOe_for_un_doped_sample,"(0_kOe, un_doped_sample)","(1, 0)",1
<Value>_for_<Element>,0_kOe_for_x_=_0,"(0_kOe, x_=_0)","(1, 0)",12
<Value>_for_<Element>,0_kOe_for_y_=_0,"(0_kOe, y_=_0)","(1, 0)",2
<Condition>_of_<Condition>,0_kOe_of_applied_magnetic_field,"(0_kOe, applied_magnetic_field)","(0, 1)",1
<Value>_for_<Element>,0_MG_Oe_for_Nd,"(0_MG_Oe, Nd)","(1, 0)",1
<Value>_for_<Class>,0_MG_Oe_for_Nd_Fe_Ti_B,"(0_MG_Oe, Nd_Fe_Ti_B)","(1, 0)",1
<Value>_for_<Element>,0_MG_Oe_for_x_=_0,"(0_MG_Oe, x_=_0)","(1, 0)",1
<Value>_at_<Condition>_=_<Condition>,0_MGOe_at_T_=_0_K,"(0_MGOe, T, 0_K)","(0, 1), (1, 2)",1
<Value>_for_<Element>,0_MGOe_for_(_0_x_)_+_z_=_0,"(0_MGOe, (_0_x_)_+_z_=_0)","(1, 0)",2
<Value>_for_<Element>,0_MGOe_for_0_wt_%_Dy,"(0_MGOe, 0_wt_%_Dy)","(1, 0)",1
<Value>_for_<Shape>,0_MGOe_for_0_wt_%_Dy_containing_{_[_(_Nd_(_Y_Dy_)_]_Co_Fe_B_}_+_Ti_C_ribbon,"(0_MGOe, 0_wt_%_Dy_containing_{_[_(_Nd_(_Y_Dy_)_]_Co_Fe_B_}_+_Ti_C_ribbon)","(1, 0)",1
<Value>_for_<Element>,0_MGOe_for_Cr,"(0_MGOe, Cr)","(1, 0)",1
<Value>_for_<Shape>,0_MGOe_for_Ga_added_ribbon,"(0_MGOe, Ga_added_ribbon)","(1, 0)",1
<Value>_for_<Class>,0_MGOe_for_magnet,"(0_MGOe, magnet)","(1, 0)",1
<Value>_for_<Element>,0_MGOe_for_Mn,"(0_MGOe, Mn)","(1, 0)",2
<Value>_for_<Class>,0_MGOe_for_MnBi_magnet,"(0_MGOe, MnBi_magnet)","(1, 0)",1
<Value>_for_<Shape>,0_MGOe_for_ribbon,"(0_MGOe, ribbon)","(1, 0)",1
<Value>_for_<Shape>,0_MGOe_for_sample,"(0_MGOe, sample)","(1, 0)",3
<Value>_for_<Element>,0_MGOe_for_Sm,"(0_MGOe, Sm)","(1, 0)",1
<Value>_for_<Class>,0_MGOe_for_SmCo,"(0_MGOe, SmCo)","(1, 0)",1
<Value>_for_<Element>,0_MGOe_for_x_=_0,"(0_MGOe, x_=_0)","(1, 0)",5
<Value>_for_<Element>,0_MGOe_for_y_=_0,"(0_MGOe, y_=_0)","(1, 0)",2
<Fabrication>_at_<Fabrication>,0_MPa_at_0_°C,"(0_MPa, 0_°C)","(1, 0)",1
<Value>_for_<Element>,0_Oe_for_x_=_0,"(0_Oe, x_=_0)","(1, 0)",2
<Value>_at_<Condition>,0_T_at_0_K,"(0_T, 0_K)","(0, 1)",2
<Value>_for_<Element>,0_T_for_Fe,"(0_T, Fe)","(1, 0)",1
<Value>_for_<Class>,0_T_for_Fe_Co_alloy,"(0_T, Fe_Co_alloy)","(1, 0)",1
<Value>_for_<Shape>,0_T_for_melt_spun_Pr_Fe_VB_C_ribbon,"(0_T, melt_spun_Pr_Fe_VB_C_ribbon)","(1, 0)",1
<Value>_for_<Shape>,0_T_for_N_=_0,"(0_T, N_=_0)","(1, 0)",10
<Value>_for_<Class>,0_T_for_Nd_Cu,"(0_T, Nd_Cu)","(1, 0)",1
<Value>_for_<Class>,0_T_for_Nd_Cu_alloy,"(0_T, Nd_Cu_alloy)","(1, 0)",1
<Value>_for_<Class>,0_T_for_Nd_Fe_B,"(0_T, Nd_Fe_B)","(1, 0)",2
<Value>_for_<Shape>,0_T_for_Nd_Fe_B_ribbon,"(0_T, Nd_Fe_B_ribbon)","(1, 0)",1
<Value>_for_<Class>,0_T_for_Pr_Cu,"(0_T, Pr_Cu)","(1, 0)",2
<Value>_for_<Class>,0_T_for_Pr_Fe_B,"(0_T, Pr_Fe_B)","(1, 0)",3
<Value>_for_<Shape>,0_T_for_Pr_Fe_B_Cu_ribbon,"(0_T, Pr_Fe_B_Cu_ribbon)","(1, 0)",1
<Value>_for_<Class>,0_T_for_Pr_Fe_Co_B,"(0_T, Pr_Fe_Co_B)","(1, 0)",1
<Value>_for_<Element>,0_T_for_Sm,"(0_T, Sm)","(1, 0)",2
<Value>_for_<Class>,0_T_for_Sm_Co,"(0_T, Sm_Co)","(1, 0)",1
<Value>_for_<Element>,0_T_for_Sm_Co_R,"(0_T, Sm_Co_R)","(1, 0)",1
<Value>_for_<Class>,0_T_for_Sm_Fe_C,"(0_T, Sm_Fe_C)","(1, 0)",1
<Value>_for_<Shape>,0_T_for_Sm_Fe_Cu_Ga_C_ribbon,"(0_T, Sm_Fe_Cu_Ga_C_ribbon)","(1, 0)",1
<Value>_for_<Class>,0_T_for_SmCo,"(0_T, SmCo)","(1, 0)",1
<Value>_for_<Shape>,0_T_for_Ta_free_film,"(0_T, Ta_free_film)","(1, 0)",1
<Element>_(_<Element>_),0_wt_%_(_0_at_%_),"(0_wt_%, 0_at_%)","(0, 1)",1
<Value>_at_<Condition>,0_μ_at_0_°C,"(0_μ, 0_°C)","(0, 1)",1
<QNT>_=_<Value>,4π_M_=_0_kG,"(4π_M, 0_kG)","(0, 1)",6
<Value>_for_<Shape>,about_0_%_for_N_=_0,"(about_0_%, N_=_0)","(1, 0)",2
<Value>_for_<Element>,about_0_MGOe_for_Nd,"(about_0_MGOe, Nd)","(1, 0)",1
<Value>_for_<Class>,about_0_MGOe_for_Nd_Fe_B_sintered_magnet,"(about_0_MGOe, Nd_Fe_B_sintered_magnet)","(1, 0)",1
<Value>_at_<Condition>,about_0_T_at_0_°C,"(about_0_T, 0_°C)","(0, 1)",2
<Value>_at_<Condition>,about_0_T_at_room_temperature,"(about_0_T, room_temperature)","(0, 1)",3
<Element>_of_<Element>,addition_of_0_at_._%_V,"(addition, 0_at_._%_V)","(0, 1)",2
<Element>_of_<Element>,addition_of_Cu,"(addition, Cu)","(0, 1)",2
<Element>_of_<Element>,addition_of_heavy_rare_earth,"(addition, heavy_rare_earth)","(0, 1)",1
<Element>_of_<Element>,addition_of_Nd,"(addition, Nd)","(0, 1)",3
<Element>_of_<Element>,addition_of_Pr,"(addition, Pr)","(0, 1)",1
<Element>_of_<Element>,addition_of_Si,"(addition, Si)","(0, 1)",1
<Element>_of_<Element>,addition_of_Y,"(addition, Y)","(0, 1)",1
<Element>_of_<Element>,addition_of_Zr,"(addition, Zr)","(0, 1)",1
<Element>_of_<Element>,Al_content_of_x_=_0,"(Al_content, x_=_0)","(0, 1)",1
<Class>_be_<Value>,alloy_be_0_%_°C_-_1,"(alloy, 0_%_°C_-_1)","(0, 1)",1
<Class>_be_<Value>,alloy_be_0_T,"(alloy, 0_T)","(0, 1)",1
<QNT>_of_<Value>,ambient_coercivity_of_~_0_T,"(ambient_coercivity, ~_0_T)","(0, 1)",1
<QNT>_to_<Value>,ambient_coercivity_to_about_0_T,"(ambient_coercivity, about_0_T)","(0, 1)",1
<Element>_of_<Element>,amount_of_B,"(amount, B)","(0, 1)",1
<Element>_of_<Element>,amount_of_Ce,"(amount, Ce)","(0, 1)",3
<Element>_of_<Element>,amount_of_Co,"(amount, Co)","(0, 1)",1
<Element>_of_<Element>,amount_of_Cu,"(amount, Cu)","(0, 1)",1
<Element>_of_<Element>,amount_of_Dy_(_x_=_0_),"(amount, Dy_(_x_=_0_))","(0, 1)",1
<Element>_of_<Element>,amount_of_Dy_addition,"(amount, Dy_addition)","(0, 1)",1
<Element>_of_<Element>,amount_of_heavy_rare_earth_element,"(amount, heavy_rare_earth_element)","(0, 1)",1
<Element>_of_<Element>,amount_of_La,"(amount, La)","(0, 1)",1
<Element>_of_<Element>,amount_of_Nd_substituted,"(amount, Nd_substituted)","(0, 1)",1
<Element>_of_<Element>,amount_of_Pr,"(amount, Pr)","(0, 1)",2
<Element>_of_<Element>,amount_of_rare_earth,"(amount, rare_earth)","(0, 1)",2
<Element>_of_<Element>,amount_of_rare_earth_element,"(amount, rare_earth_element)","(0, 1)",2
<Element>_of_<Element>,amount_of_RE,"(amount, RE)","(0, 1)",1
<Element>_of_<Element>,amount_of_Sm,"(amount, Sm)","(0, 1)",1
